# Table 1 from McGaugh 2005 (note that MHI is already supposedly corrected for He and metals)
#        Vf    	M*     MHI	mu0	R_d (kpc)
#gal   km/s  	1e10 Msun	mag/arcsec^2
#
UGC2885	300	30.8	5.0	22.0	13.0
NGC2841	287	32.3	1.7	21.1	4.6 
NGC5533	250	19.0	3.0	23.0	11.4
NGC6674	242	18.0	3.9	22.5	8.3 
NGC3992	242	15.3	0.92	20.4	4.1 
NGC7331	232	13.3	1.1	21.5	4.5 
NGC3953	223	7.9	0.27	20.6	3.9 
NGC5907	214	9.7	1.1	20.7	4.0 
NGC2998	213	8.3	3.0	20.3	5.4 
NGC801	208	10.0	2.9	21.9	12.0
NGC5371	208	11.5	1.0	21.4	7.9 
NGC5033	195	8.8	0.93	23.0	5.8 
NGC3893	188	4.20	0.56	20.3	2.3 
NGC4157	185	4.83	0.79	21.3	5.0 
NGC2903	185	5.5	0.31	20.5	2.0 
NGC4217	178	4.25	0.25	21.4	4.2 
NGC4013	177	4.55	0.29	21.1	3.5 
NGC3521	175	6.5	0.63	20.5	2.4 
NGC4088	173	3.30	0.79	20.9	3.1 
NGC3877	167	3.35	0.14	20.1	3.0 
NGC4100	164	4.32	0.30	20.1	2.8 
NGC3949	164	1.39	0.33	19.6	1.7 
NGC3726	162	2.62	0.62	21.6	5.5 
NGC6946	160	2.7	2.7	21.7	5.6 
NGC4051	159	3.03	0.26	21.2	4.2 
NGC3198	156	2.3	0.63	21.6	2.6 
NGC2683	155	3.5	0.05	21.1	1.2 
NGC3917	135	1.4	0.18	22.1	2.9 
NGC4085	134	1.0	0.13	20.0	1.6 
NGC2403	134	1.1	0.47	21.4	2.1 
NGC3972	134	1.0	0.12	20.6	2.1 
UGC128	131	0.57	0.91	24.2	9.2 
NGC4010	128	0.86	0.27	22.5	2.9 
F568-V1	124	0.66	0.34	23.3	3.2 
NGC3769	122	0.80	0.53	21.1	1.7 
NGC6503	121	0.83	0.24	21.9	1.7 
F568-3	120	0.44	0.39	23.1	4.0 
NGC4183	112	0.59	0.34	22.8	3.4 
F563-V2	111	0.55	0.32	22.1	2.1 
F563-1	111	0.40	0.39	23.6	4.3 
NGC1003	110	0.30	0.82	21.6	1.9 
UGC6917	110	0.54	0.20	22.9	3.4 
UGC6930	110	0.42	0.31	22.3	3.0 
M33	107	0.48	0.13	21.1	1.7 
UGC6983	107	0.57	0.29	23.0	3.6 
NGC247	107	0.40	0.13	23.4	2.9 
NGC7793	100	0.41	0.10	20.3	1.1 
NGC300	90	0.22	0.13	22.2	2.1 
NGC5585	90	0.12	0.25	21.9	1.4 
NGC55	86	0.10	0.13	21.5	1.6 
UGC6667	86	0.25	0.08	23.8	2.8 
UGC2259	86	0.22	0.05	22.3	1.3 
UGC6446	82	0.12	0.30	23.1	3.1 
UGC6818	73	0.04	0.10	23.5	1.9 
NGC1560	72	0.034	0.098	23.2	1.3 
IC2574	66	0.010	0.067	23.4	2.2 
DDO170	64	0.024	0.061	24.1	1.3 
NGC3109	62	0.005	0.068	23.1	1.6 
DDO154	56	0.004	0.045	23.2	0.5 
DDO168	54	0.005	0.032	23.4	0.9 
